customer_id,segment_name,recency_days,frequency_180d,monetary_180d,R,F,M,RFM_sum,return_rate_180d,negative_ticket_rate_90d,ticket_count_90d,category_diversity_180d,campaign_clicks_30d,sessions_30d,loyalty_tier,last_campaign_received,manual_priority_bucket
CUST00001,Dormant,107,1,362.73,2,1,1,4,0.0,0.0,0,1,0,1,Silver,welcome_offer,high
CUST00002,New / Promising,40,1,581.0,4,1,2,7,0.0,0.0,1,1,0,8,Silver,free_shipping,medium
CUST00003,Dormant,171,1,649.98,1,1,2,4,0.0,0.0,0,1,0,1,,none,high
CUST00004,At-Risk High-Value,131,1,1604.04,2,1,4,7,0.0,0.0,0,1,0,1,,free_shipping,high
CUST00005,Champions,38,3,1781.9,4,5,4,13,0.0,0.0,0,2,1,18,Gold,welcome_offer,medium
CUST00006,High-Value but Unhappy,51,4,2989.58,3,5,5,13,0.25,1.0,2,3,0,2,Silver,none,medium
CUST00007,New / Promising,3,1,719.33,5,1,3,9,0.0,0.0,0,1,3,11,,free_shipping,low
CUST00008,Loyal Customers,47,3,2449.11,3,5,5,13,0.0,0.0,0,3,0,2,Silver,bundle_discount,medium
CUST00009,New / Promising,31,1,376.85,4,1,2,7,0.0,0.0,0,1,0,11,,none,low
CUST00010,New / Promising,9,1,636.8,5,1,2,8,0.0,0.0,0,1,0,13,,none,low
CUST00011,New / Promising,1,1,508.08,5,1,2,8,0.0,0.0,0,1,0,10,Gold,new_launch,low
CUST00012,Need Attention,50,1,978.88,3,1,3,7,0.0,0.0,0,1,0,3,,none,medium
CUST00013,Loyal Customers,61,3,1754.44,3,5,4,12,0.0,0.0,0,2,0,4,,free_shipping,medium
CUST00014,Loyal Customers,51,2,1382.3899999999999,3,3,4,10,0.0,0.0,0,1,0,11,,bundle_discount,medium
CUST00015,Loyal Customers,35,2,1523.1399999999999,4,3,4,11,0.0,0.0,0,2,0,6,Gold,none,low
CUST00016,Dormant,215,0,0.0,1,1,1,3,0.0,0.0,0,0,1,2,,welcome_offer,high
CUST00017,Dormant,286,0,0.0,1,1,1,3,0.0,0.0,0,0,4,4,,bundle_discount,high
CUST00018,Dormant,111,1,329.21,2,1,1,4,0.0,0.0,0,1,2,3,Silver,new_launch,high
CUST00019,Loyal Customers,9,2,1598.93,5,3,4,12,0.0,0.0,0,1,1,5,Gold,free_shipping,low
CUST00020,Dormant,368,0,0.0,1,1,1,3,0.0,0.0,0,0,0,0,,welcome_offer,high
CUST00021,Loyal Customers,77,2,1059.3,3,3,3,9,0.0,1.0,1,2,0,3,Silver,new_launch,high
CUST00022,New / Promising,29,1,454.06,4,1,2,7,0.0,0.0,0,1,1,10,,welcome_offer,low
CUST00023,New / Promising,21,1,400.98,4,1,2,7,0.0,0.0,0,1,1,3,Gold,welcome_offer,low
CUST00024,New / Promising,4,1,481.35,5,1,2,8,0.0,0.0,0,1,0,13,,new_launch,low
CUST00025,Dormant,165,1,517.97,1,1,2,4,0.0,0.0,0,1,1,11,,new_launch,high
CUST00026,High-Value but Unhappy,72,3,3561.3900000000003,3,5,5,13,0.333,1.0,1,2,0,14,,none,medium
CUST00027,High-Value but Unhappy,70,1,2128.34,3,1,5,9,1.0,0.0,1,1,2,11,,free_shipping,medium
CUST00028,Need Attention,83,1,641.83,3,1,2,6,0.0,0.0,0,1,0,1,,free_shipping,high
CUST00029,Champions,18,3,1382.04,5,5,4,14,0.0,0.0,0,2,0,1,,free_shipping,low
CUST00030,High-Value but Unhappy,5,5,2819.98,5,5,5,15,0.0,1.0,2,4,0,11,Gold,free_shipping,medium
CUST00031,Need Attention,49,1,672.95,3,1,2,6,0.0,0.0,0,1,0,6,,new_launch,medium
CUST00032,New / Promising,33,1,694.18,4,1,3,8,0.0,0.0,0,1,0,12,Silver,bundle_discount,low
